"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2505","registerWeatherStation","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","registerWeatherStation"
"","1042","deleteCreatedStation","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","deleteCreatedStation"
"","1064","updateCreatedStation","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","updateCreatedStation"
"","1072","updateCreatedStation","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.WeatherTest","WeatherTests","Basics.WeatherTest","updateCreatedStation"
"","2770","registerWeatherStation","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.WeatherTest","WeatherTests","Basics.WeatherTest","registerWeatherStation"
"","1111","getDeletedStation_shouldReturn404","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.WeatherTest","WeatherTests","Basics.WeatherTest","getDeletedStation_shouldReturn404"
"","1157","getDeletedStation","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","getDeletedStation"
"","1161","getCreatedStationById","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.WeatherTest","WeatherTests","Basics.WeatherTest","getCreatedStationById"
"","1478","createStation_withEmptyExternalId","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","createStation_withEmptyExternalId"
"","1096","createInvalidStation","WeatherTestSuite","2025-11-03","failed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","createInvalidStation"
"","3926","getAllStations","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","getAllStations"
"","1156","getCreatedStationById","WeatherTestSuite","2025-11-03","passed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","getCreatedStationById"
"","4123","getAllStations","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.WeatherTest","WeatherTests","Basics.WeatherTest","getAllStations"
"","2478","registerWeatherStation","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.RegisterWeatherTest","WeatherTests","Basics.RegisterWeatherTest","registerWeatherStation"
"","1098","deleteCreatedStation","WeatherTestSuite","2025-11-02","passed","2025-11-02","Basics.WeatherTest","WeatherTests","Basics.WeatherTest","deleteCreatedStation"
"","1468","getInvalidStation","WeatherTestSuite","2025-11-03","failed","2025-11-03","Tests.WeatherTest","WeatherTests","Tests.WeatherTest","getInvalidStation"
"","1187","getCreatedStationById","WeatherTestSuite","2025-11-02","failed","2025-11-02","Basics.RegisterWeatherTest","WeatherTests","Basics.RegisterWeatherTest","getCreatedStationById"
